date,platform,country,review,star,user_id,issue_flag,likes_count,dislike_count,label
11.12.2025,Android,India,The performance feature needs improvement and impacts usability.,2,user_4221,Yes,8,6,Neutral
16.09.2025,Android,India,The performance feature needs improvement and impacts usability.,2,user_6390,Yes,5,10,Negative
15.08.2025,iOS,USA,The notifications feature works smoothly and meets expectations.,3,user_7441,No,9,1,Neutral
11.09.2025,Android,India,The login feature works smoothly and meets expectations.,4,user_8586,No,4,3,Neutral
14.10.2025,Android,Brazil,The notifications feature needs improvement and impacts usability.,1,user_2281,Yes,0,6,Negative
26.11.2025,iOS,Australia,The payments feature works smoothly and meets expectations.,3,user_1882,No,10,5,Negative
25.10.2025,iOS,USA,The search feature works smoothly and meets expectations.,3,user_9547,No,1,8,Negative
13.12.2025,Android,UK,The payments feature works smoothly and meets expectations.,5,user_6018,No,6,10,Neutral
24.10.2025,iOS,India,The payments feature works smoothly and meets expectations.,3,user_3654,No,0,8,Neutral
28.12.2025,iOS,Brazil,The payments feature needs improvement and impacts usability.,2,user_1126,Yes,6,3,Positive
04.11.2025,Android,USA,The search feature works smoothly and meets expectations.,5,user_1229,No,9,7,Negative
05.10.2025,Android,Brazil,The login feature needs improvement and impacts usability.,2,user_1676,Yes,8,8,Neutral
23.12.2025,Android,UK,The performance feature needs improvement and impacts usability.,2,user_1723,Yes,8,2,Negative
07.12.2025,Android,India,The payments feature works smoothly and meets expectations.,4,user_5782,No,1,3,Neutral
03.01.2026,iOS,Brazil,The payments feature needs improvement and impacts usability.,2,user_1177,Yes,1,1,Negative
13.11.2025,iOS,USA,The login feature needs improvement and impacts usability.,1,user_5228,Yes,4,1,Negative
25.10.2025,iOS,Brazil,The notifications feature works smoothly and meets expectations.,5,user_1221,No,8,2,Neutral
26.10.2025,iOS,Brazil,The login feature works smoothly and meets expectations.,4,user_3157,No,2,10,Positive
01.10.2025,iOS,USA,The ui/ux feature needs improvement and impacts usability.,1,user_2400,Yes,9,8,Neutral
05.10.2025,iOS,India,The payments feature needs improvement and impacts usability.,2,user_4797,Yes,0,6,Neutral
08.08.2025,Android,UK,The notifications feature works smoothly and meets expectations.,5,user_2437,No,4,7,Neutral
11.11.2025,Android,Brazil,The notifications feature needs improvement and impacts usability.,1,user_7694,Yes,0,6,Negative
26.08.2025,Android,USA,The payments feature works smoothly and meets expectations.,3,user_3687,No,6,1,Positive
23.10.2025,iOS,Australia,The login feature works smoothly and meets expectations.,5,user_6373,No,1,2,Positive
29.09.2025,Android,UK,The payments feature works smoothly and meets expectations.,5,user_5691,No,10,3,Negative
10.01.2026,Android,Australia,The performance feature needs improvement and impacts usability.,2,user_7696,Yes,0,3,Negative
23.12.2025,iOS,USA,The login feature needs improvement and impacts usability.,2,user_4359,Yes,3,10,Neutral
24.07.2025,Android,India,The login feature works smoothly and meets expectations.,4,user_1723,No,2,8,Positive
06.08.2025,Android,Brazil,The search feature works smoothly and meets expectations.,3,user_1690,No,7,3,Neutral
18.11.2025,Android,India,The ui/ux feature needs improvement and impacts usability.,1,user_3476,Yes,9,6,Neutral
26.08.2025,Android,USA,The performance feature needs improvement and impacts usability.,2,user_7346,Yes,4,6,Negative
13.12.2025,iOS,USA,The payments feature needs improvement and impacts usability.,1,user_6699,Yes,1,6,Positive
04.11.2025,Android,Australia,The payments feature needs improvement and impacts usability.,1,user_9385,Yes,4,7,Negative
18.10.2025,iOS,USA,The search feature needs improvement and impacts usability.,2,user_5999,Yes,7,6,Positive
31.12.2025,iOS,India,The ui/ux feature works smoothly and meets expectations.,4,user_4220,No,3,4,Negative
17.10.2025,Android,India,The search feature needs improvement and impacts usability.,1,user_9309,Yes,9,3,Neutral
16.09.2025,iOS,USA,The payments feature needs improvement and impacts usability.,1,user_3440,Yes,10,0,Negative
27.12.2025,Android,USA,The notifications feature needs improvement and impacts usability.,2,user_2636,Yes,5,0,Negative
06.01.2026,iOS,USA,The ui/ux feature works smoothly and meets expectations.,3,user_4168,No,7,10,Negative
03.08.2025,Android,Australia,The login feature needs improvement and impacts usability.,2,user_4774,Yes,2,6,Negative
08.09.2025,iOS,Australia,The payments feature needs improvement and impacts usability.,1,user_9773,Yes,10,8,Positive
19.08.2025,iOS,Brazil,The login feature needs improvement and impacts usability.,1,user_8288,Yes,4,9,Positive
29.08.2025,Android,Brazil,The login feature works smoothly and meets expectations.,4,user_4154,No,5,5,Neutral
19.07.2025,iOS,Brazil,The payments feature works smoothly and meets expectations.,4,user_4979,No,6,1,Neutral
02.11.2025,iOS,UK,The performance feature needs improvement and impacts usability.,2,user_3267,Yes,1,0,Negative
18.10.2025,Android,USA,The performance feature needs improvement and impacts usability.,1,user_6368,Yes,8,6,Neutral
15.12.2025,iOS,Australia,The payments feature works smoothly and meets expectations.,3,user_6772,No,7,0,Negative
12.10.2025,iOS,India,The performance feature works smoothly and meets expectations.,3,user_9247,No,10,7,Neutral
28.09.2025,Android,Brazil,The login feature needs improvement and impacts usability.,2,user_1459,Yes,9,7,Positive
22.11.2025,iOS,India,The performance feature needs improvement and impacts usability.,2,user_9840,Yes,3,3,Neutral
25.07.2025,Android,USA,The search feature works smoothly and meets expectations.,4,user_2279,No,9,1,Positive
19.12.2025,iOS,Australia,The ui/ux feature works smoothly and meets expectations.,3,user_1653,No,7,9,Neutral
10.01.2026,iOS,USA,The payments feature works smoothly and meets expectations.,4,user_3321,No,6,8,Positive
04.11.2025,iOS,India,The search feature works smoothly and meets expectations.,4,user_5216,No,9,10,Negative
29.07.2025,iOS,USA,The performance feature works smoothly and meets expectations.,3,user_1119,No,1,5,Neutral
19.09.2025,Android,India,The payments feature needs improvement and impacts usability.,1,user_7872,Yes,1,2,Positive
11.10.2025,iOS,Brazil,The performance feature works smoothly and meets expectations.,5,user_1382,No,2,1,Neutral
07.09.2025,iOS,USA,The login feature needs improvement and impacts usability.,1,user_5258,Yes,6,5,Positive
20.09.2025,iOS,India,The payments feature works smoothly and meets expectations.,5,user_4456,No,5,0,Neutral
28.10.2025,Android,UK,The notifications feature works smoothly and meets expectations.,4,user_3077,No,2,8,Negative
06.08.2025,iOS,UK,The payments feature needs improvement and impacts usability.,2,user_3355,Yes,7,8,Negative
16.12.2025,iOS,UK,The login feature needs improvement and impacts usability.,1,user_5213,Yes,9,1,Positive
04.12.2025,Android,USA,The performance feature works smoothly and meets expectations.,4,user_2462,No,8,3,Neutral
30.11.2025,Android,USA,The performance feature needs improvement and impacts usability.,2,user_3188,Yes,8,2,Positive
29.10.2025,iOS,UK,The login feature works smoothly and meets expectations.,5,user_1639,No,4,9,Positive
22.12.2025,iOS,USA,The performance feature works smoothly and meets expectations.,3,user_2773,No,1,10,Negative
09.09.2025,Android,India,The payments feature needs improvement and impacts usability.,1,user_4223,Yes,7,8,Negative
11.10.2025,Android,Australia,The login feature works smoothly and meets expectations.,4,user_5320,No,0,2,Neutral
09.12.2025,Android,Australia,The notifications feature needs improvement and impacts usability.,2,user_2106,Yes,0,5,Negative
09.10.2025,iOS,Brazil,The login feature needs improvement and impacts usability.,1,user_8584,Yes,4,8,Neutral
06.01.2026,iOS,USA,The ui/ux feature works smoothly and meets expectations.,4,user_4403,No,9,5,Negative
03.10.2025,Android,USA,The performance feature works smoothly and meets expectations.,4,user_6207,No,1,9,Negative
10.10.2025,Android,USA,The ui/ux feature works smoothly and meets expectations.,3,user_6466,No,6,6,Negative
28.10.2025,iOS,UK,The payments feature works smoothly and meets expectations.,4,user_8213,No,4,2,Negative
26.07.2025,iOS,India,The performance feature works smoothly and meets expectations.,5,user_4705,No,7,4,Negative
19.12.2025,iOS,India,The performance feature needs improvement and impacts usability.,2,user_5745,Yes,1,6,Negative
27.11.2025,Android,UK,The notifications feature works smoothly and meets expectations.,4,user_7926,No,8,6,Negative
13.10.2025,iOS,Australia,The ui/ux feature works smoothly and meets expectations.,3,user_7351,No,8,4,Negative
22.12.2025,Android,Australia,The login feature works smoothly and meets expectations.,3,user_4719,No,8,8,Neutral
30.10.2025,iOS,Australia,The payments feature works smoothly and meets expectations.,5,user_6904,No,7,9,Positive
13.09.2025,Android,India,The performance feature works smoothly and meets expectations.,4,user_7645,No,2,4,Neutral
01.11.2025,Android,Brazil,The ui/ux feature works smoothly and meets expectations.,3,user_4596,No,4,6,Positive
04.11.2025,iOS,UK,The notifications feature works smoothly and meets expectations.,3,user_7464,No,2,8,Neutral
19.09.2025,Android,India,The payments feature needs improvement and impacts usability.,2,user_1292,Yes,4,9,Positive
25.12.2025,Android,Australia,The payments feature needs improvement and impacts usability.,1,user_5144,Yes,5,8,Neutral
20.11.2025,Android,Brazil,The payments feature works smoothly and meets expectations.,3,user_7207,No,7,10,Neutral
30.12.2025,iOS,Australia,The login feature works smoothly and meets expectations.,5,user_4509,No,1,7,Negative
25.12.2025,iOS,Brazil,The search feature needs improvement and impacts usability.,1,user_3786,Yes,6,6,Neutral
22.10.2025,Android,Brazil,The login feature works smoothly and meets expectations.,3,user_3971,No,9,3,Neutral
29.12.2025,Android,Australia,The notifications feature works smoothly and meets expectations.,5,user_3726,No,0,1,Negative
22.08.2025,iOS,India,The ui/ux feature works smoothly and meets expectations.,5,user_5575,No,9,10,Negative
07.09.2025,Android,USA,The performance feature works smoothly and meets expectations.,3,user_3238,No,6,0,Positive
